station_id,1026,1025,1024,1019,1018,1017,890,889,887,885,884,882,881,879,877,876,874,873,870,868,866,865,862,860,648,366,359,358,357,356,355,352,349,347,346,345,344,341,340,296,290,289,285,265,264,262,261,260,259,258,257,256,254,253,252,251,250,249,248,247,246,225,189,183
1026,0.0,1262.0,1146.0,1044.0,815.0,966.0,978.0,1243.0,1198.0,1160.0,864.0,1090.0,1173.0,1075.0,1121.0,1193.0,1333.0,1380.0,480.0,672.0,790.0,908.0,1248.0,815.0,899.0,346.0,1009.0,316.0,525.0,560.0,619.0,1262.0,915.0,866.0,1407.0,1337.0,1156.0,1244.0,1146.0,1095.0,1335.0,964.0,165.0,1008.0,835.0,555.0,450.0,1096.0,810.0,741.0,521.0,577.0,1274.0,1220.0,1248.0,716.0,164.0,1219.0,1014.0,1055.0,841.0,682.0,1012.0,835.0
1025,1365.0,0.0,478.0,427.0,685.0,715.0,701.0,262.0,247.0,262.0,661.0,325.0,391.0,522.0,284.0,334.0,474.0,486.0,938.0,809.0,669.0,568.0,1054.0,758.0,729.0,1092.0,528.0,1091.0,993.0,862.0,893.0,0.0,584.0,792.0,371.0,195.0,427.0,389.0,478.0,365.0,234.0,709.0,1326.0,632.0,778.0,927.0,978.0,479.0,806.0,724.0,1315.0,949.0,678.0,722.0,677.0,825.0,1321.0,158.0,763.0,620.0,756.0,722.0,736.0,793.0
1024,1158.0,387.0,0.0,408.0,441.0,236.0,223.0,503.0,547.0,527.0,871.0,318.0,372.0,156.0,582.0,632.0,797.0,810.0,757.0,698.0,786.0,772.0,1320.0,368.0,939.0,1099.0,259.0,932.0,890.0,783.0,795.0,387.0,712.0,314.0,417.0,325.0,80.0,97.0,0.0,380.0,199.0,599.0,1271.0,154.0,387.0,847.0,819.0,386.0,696.0,697.0,1077.0,752.0,414.0,458.0,414.0,629.0,1280.0,240.0,285.0,510.0,366.0,526.0,517.0,574.0
1019,1041.0,377.0,291.0,0.0,258.0,469.0,514.0,462.0,506.0,497.0,777.0,278.0,173.0,447.0,552.0,602.0,742.0,754.0,597.0,605.0,692.0,737.0,1290.0,431.0,846.0,917.0,550.0,749.0,707.0,600.0,730.0,377.0,619.0,306.0,581.0,461.0,356.0,373.0,291.0,88.0,336.0,505.0,1100.0,445.0,451.0,664.0,637.0,189.0,632.0,603.0,888.0,522.0,690.0,734.0,690.0,398.0,1094.0,230.0,518.0,416.0,429.0,295.0,446.0,391.0
1018,792.0,616.0,495.0,240.0,0.0,343.0,355.0,702.0,746.0,737.0,834.0,517.0,369.0,495.0,792.0,842.0,982.0,994.0,348.0,492.0,636.0,824.0,1466.0,409.0,902.0,668.0,492.0,501.0,459.0,352.0,481.0,617.0,737.0,258.0,778.0,657.0,560.0,577.0,495.0,328.0,532.0,566.0,851.0,423.0,429.0,416.0,388.0,292.0,384.0,560.0,929.0,538.0,789.0,735.0,762.0,279.0,846.0,470.0,392.0,700.0,407.0,400.0,423.0,270.0
1017,979.0,546.0,241.0,265.0,261.0,0.0,67.0,652.0,696.0,686.0,967.0,467.0,255.0,207.0,740.0,791.0,931.0,943.0,599.0,643.0,772.0,927.0,1479.0,349.0,1035.0,919.0,241.0,752.0,710.0,603.0,732.0,546.0,808.0,134.0,663.0,543.0,321.0,339.0,241.0,278.0,418.0,598.0,1102.0,135.0,369.0,667.0,639.0,178.0,635.0,730.0,929.0,573.0,565.0,511.0,538.0,449.0,1097.0,399.0,76.0,606.0,347.0,346.0,308.0,365.0
890,997.0,617.0,230.0,311.0,279.0,74.0,0.0,734.0,777.0,758.0,1014.0,549.0,302.0,196.0,812.0,863.0,1028.0,1040.0,617.0,689.0,818.0,973.0,1551.0,339.0,1082.0,937.0,230.0,770.0,728.0,621.0,750.0,617.0,855.0,152.0,608.0,556.0,310.0,328.0,230.0,325.0,430.0,645.0,1120.0,125.0,358.0,685.0,657.0,224.0,653.0,776.0,947.0,591.0,555.0,500.0,528.0,467.0,1115.0,471.0,123.0,652.0,336.0,364.0,355.0,412.0
889,1201.0,301.0,502.0,443.0,701.0,739.0,726.0,0.0,43.0,89.0,488.0,194.0,416.0,658.0,111.0,162.0,302.0,314.0,811.0,681.0,507.0,396.0,882.0,870.0,557.0,928.0,761.0,963.0,865.0,735.0,730.0,301.0,380.0,816.0,604.0,509.0,567.0,585.0,502.0,362.0,550.0,582.0,1163.0,656.0,890.0,799.0,851.0,503.0,679.0,591.0,1331.0,1001.0,902.0,945.0,901.0,830.0,1157.0,450.0,788.0,492.0,868.0,738.0,760.0,817.0
887,1158.0,257.0,548.0,488.0,746.0,784.0,771.0,45.0,0.0,46.0,445.0,239.0,461.0,704.0,68.0,119.0,258.0,271.0,775.0,645.0,464.0,353.0,838.0,916.0,513.0,885.0,807.0,927.0,829.0,699.0,687.0,257.0,336.0,862.0,560.0,465.0,613.0,630.0,548.0,408.0,491.0,545.0,1119.0,702.0,935.0,791.0,815.0,549.0,642.0,548.0,1412.0,964.0,947.0,991.0,947.0,794.0,1114.0,415.0,833.0,537.0,913.0,783.0,806.0,792.0
