,hour,nanmean_demand_bikes,nanmedian_demand_bikes,nanstd_demand_bikes,count_demand_bikes,nanmean_demand_locks,nanmedian_demand_locks,nanstd_demand_locks,count_demand_locks,station_id,capacity,probability_pst,fill_deg_pst,opt_no_bikes,valid_date
34,18,1.2,1.0,0.8366600265340756,5,0.2,0.0,0.447213595499958,5,1018,7,0.017,57.143,4,2019-08-01 11:31:31.868114
35,19,1.1666666666666667,1.5,0.983192080250175,6,0.8428571428571429,0.5,0.99693407556388,6,1018,7,6.355,42.857,3,2019-08-01 11:31:31.868114
36,20,0.25,0.0,0.5,4,1.0119047619047619,1.0357142857142856,0.8949024193374686,6,1018,7,0.003,28.571,2,2019-08-01 11:31:31.868114
37,21,1.4,0.0,1.949358868961793,5,0.9444444444444443,0.8333333333333333,1.0417222207408197,6,1018,7,2.009,57.143,4,2019-08-01 11:31:31.868114
38,22,1.2,0.0,1.7888543819998317,5,0.0,0.0,0.0,5,1018,7,0.04,85.714,6,2019-08-01 11:31:31.868114
39,23,1.4,1.0,1.6733200530681511,5,0.0,0.0,0.0,6,1018,7,0.14,85.714,6,2019-08-01 11:31:31.868114
40,0,0.0,0.0,0.0,4,0.0,0.0,0.0,5,1019,10,0.0,50.0,5,2019-08-01 11:31:31.868114
41,5,0.0,0.0,0.0,5,0.0,0.0,0.0,5,1019,10,0.0,50.0,5,2019-08-01 11:31:31.868114
42,6,0.0,0.0,0.0,5,0.0,0.0,0.0,4,1019,10,0.0,50.0,5,2019-08-01 11:31:31.868114
43,7,0.0,0.0,0.0,5,0.8,0.0,1.0954451150103321,5,1019,10,50.0,0.0,0,2019-08-01 11:31:31.868114
44,8,0.6,0.0,0.8944271909999159,5,1.2,0.0,1.7888543819998317,5,1019,10,0.04,30.0,3,2019-08-01 11:31:31.868114
45,9,0.6,0.0,0.8944271909999159,5,1.4,0.0,1.9493588689617927,5,1019,10,0.04,30.0,3,2019-08-01 11:31:31.868114
46,10,0.5,0.5,0.5773502691896257,4,0.8,0.0,1.0954451150103321,5,1019,10,0.001,30.0,3,2019-08-01 11:31:31.868114
47,11,0.75,0.5,0.9574271077563381,4,1.0281368821292776,1.1406844106463878,1.0019772555700974,5,1019,10,0.013,40.0,4,2019-08-01 11:31:31.868114
48,12,2.0,2.0,0.0,3,0.9310852237890865,1.0,0.9227455182084157,5,1019,10,50.0,20.0,2,2019-08-01 11:31:31.868114
49,13,2.25,2.0,2.0615528128088303,4,1.3310852237890864,1.6554261189454322,0.8487485302400417,5,1019,10,2.617,60.0,6,2019-08-01 11:31:31.868114
50,14,1.75,1.0,2.362907813126304,4,0.8749490835030549,1.0,0.8749636377251726,5,1019,10,1.717,60.0,6,2019-08-01 11:31:31.868114
51,15,0.0,0.0,0.0,3,0.8,1.0,0.8366600265340756,5,1019,10,50.0,0.0,0,2019-08-01 11:31:31.868114
52,16,1.0,1.0,1.1547005383792515,4,0.4,0.0,0.5477225575051661,5,1019,10,0.0,70.0,7,2019-08-01 11:31:31.868114
53,17,1.25,1.0,1.5,4,0.0,0.0,0.0,4,1019,10,0.0,90.0,9,2019-08-01 11:31:31.868114
54,18,1.25,1.0,1.5,4,0.0,0.0,0.0,5,1019,10,0.0,90.0,9,2019-08-01 11:31:31.868114
